,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
,00A0,040,20,,,,,40,20,space,NO-BREAK SPACE
32,20,40,20,40,20,40,20,40,20,space,space
,2660,,,,,,,252,AA,spade,BLACK SPADE SUIT
163,00A3,243,00A3,243,00A3,,,,,sterling,pound sign
,220B,,,,,,,047,27,suchthat,CONTAINS AS MEMBER
,2211,,,,,,,345,E5,summation,N-ARY SUMMATION
84,54,124,54,124,54,124,54,,,T,latin capital letter t
116,74,164,74,164,74,164,74,,,t,latin small letter t
,03A4,,,,,,,124,54,Tau,GREEK CAPITAL LETTER TAU
,03C4,,,,,,,164,74,tau,GREEK SMALL LETTER TAU
,U+0164,,,,,215,008D,,,Tcaron,latin capital  letter t with caron
,U+0165,,,,,235,009D,,,tcaron,latin small letter t with caron
,U+0162,,,,,336,00DE,,,Tcommaaccent,latin capital letter c with cedilla
,U+0163,,,,,376,00FE,,,tcommaaccent,latin small letter t with cedilla
,2234,,,,,,,134,5C,therefore,THEREFORE
,398,,,,,,,121,51,Theta,GREEK CAPITAL LETTER THETA
,03B8,,,,,,,161,71,theta,GREEK SMALL LETTER THETA
,03D1,,,,,,,112,4A,theta1,GREEK THETA SYMBOL
222,00DE,,,336,00DE,,,,,Thorn,latin capital letter thorn
254,00FE,,,376,00FE,,,,,thorn,latin small letter thorn
51,33,63,33,63,33,63,33,63,33,three,digit three
190,00BE,,,276,00BE,,,,,threequarters,vulgar fraction three quarter
179,00B3,,,263,00B3,,,,,threesuperior,superscript three
148,U+007e,304,00C4,224,94,,,,,tilde,tilde (tilde operator is U+223c)
,U+2122,,,,,231,99,,,trademark,trade mark sign
,F8EA,,,,,,,344,E4,trademarksans (CUS),TRADE MARK SIGN SANS SERIF
,F6DB,,,,,,,324,D4,trademarkserif (CUS),TRADE MARK SIGN SERIF
50,32,62,32,62,32,62,32,62,32,two,digit two
178,00B2,,,262,00B2,,,,,twosuperior,superscript two
85,55,125,55,125,55,125,55,,,U,latin capital letter u
117,75,165,75,165,75,165,75,,,u,latin small letter u
218,00DA,,,332,00DA,332,00DA,,,Uacute,latin capital letter u with acute
250,00FA,,,372,00FA,372,00FA,,,uacute,latin small letter u with acute
